Epochs,Huber_Loss,MAE,MSE,Error_Rate_%
50,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
100,0.22076216340065002,0.4428690969944,0.3722526729106903,33.157620347740476
150,0.20879009366035461,0.44829949736595154,0.3720214366912842,33.56419188519809
200,0.20263631641864777,0.4457337558269501,0.3758356273174286,33.372099738696264
250,0.19395698606967926,0.4280049800872803,0.36884161829948425,32.044745269744205
300,0.19243532419204712,0.43690913915634155,0.3700254261493683,32.7113993179648
350,0.19171446561813354,0.43611961603164673,0.37353286147117615,32.65228801736004
400,0.19067730009555817,0.4344777762889862,0.3746502995491028,32.52936164102962
450,0.19009891152381897,0.4362942576408386,0.3744792938232422,32.66536300545799
500,0.19000659883022308,0.43658342957496643,0.375885546207428,32.687010333915964
