Epochs,Trained_On,MSE_80_20,MSE_95_5,Error_Rate_80_20_%,Error_Rate_95_5_%,MSE_Difference,Error_Rate_Difference_%
50,80-20,0.13240495324134827,0.1975451558828354,31.563400205444196,32.014697533673825,0.06514020264148712,0.45129732822962865
100,95-5,0.12924225628376007,0.19272209703922272,31.94020075406188,31.90160204443192,0.06347984075546265,-0.038598709629958705
150,80-20,0.13281875848770142,0.1850155144929886,35.01152535376902,33.092537430945406,0.05219675600528717,-1.9189879228236109
200,95-5,0.1320439875125885,0.1969153881072998,32.514822260025944,32.589639304484116,0.0648714005947113,0.07481704445817172
250,80-20,0.13992398977279663,0.18802139163017273,39.08895239729896,36.01615288704511,0.0480974018573761,-3.0727995102538515
300,95-5,0.13209810853004456,0.1791461706161499,36.01760012834474,33.00028589685427,0.04704806208610535,-3.0173142314904666
350,80-20,0.12901443243026733,0.17576970160007477,35.64752741677475,32.707365434941224,0.046755269169807434,-2.9401619818335263
400,95-5,0.132186621427536,0.1743975728750229,37.22299778923136,33.377786234823155,0.04221095144748688,-3.845211554408202
450,80-20,0.13826477527618408,0.20344211161136627,31.665368745261162,34.4424853909996,0.06517733633518219,2.777116645738438
500,95-5,0.17458771169185638,0.2997588515281677,47.673042349499084,47.41543054827987,0.12517113983631134,-0.25761180121921257
