From_Epoch,To_Epoch,DataPoint,Prediction_Difference,Mean_Difference,Std_Difference
50,100,1,0.021838903,-0.039389744,0.14528856
50,100,2,0.075723946,-0.039389744,0.14528856
50,100,3,0.075723946,-0.039389744,0.14528856
50,100,4,0.26782537,-0.039389744,0.14528856
50,100,5,0.26782537,-0.039389744,0.14528856
50,100,6,0.12352997,-0.039389744,0.14528856
50,100,7,0.12352997,-0.039389744,0.14528856
50,100,8,0.0065113306,-0.039389744,0.14528856
50,100,9,0.0065113306,-0.039389744,0.14528856
50,100,10,-0.009604692,-0.039389744,0.14528856
50,100,11,-0.009604692,-0.039389744,0.14528856
50,100,12,0.03491223,-0.039389744,0.14528856
50,100,13,0.03491223,-0.039389744,0.14528856
50,100,14,-0.102553844,-0.039389744,0.14528856
50,100,15,-0.102553844,-0.039389744,0.14528856
50,100,16,-0.17848611,-0.039389744,0.14528856
50,100,17,-0.17848611,-0.039389744,0.14528856
50,100,18,0.108941734,-0.039389744,0.14528856
50,100,19,0.108941734,-0.039389744,0.14528856
50,100,20,0.22147715,-0.039389744,0.14528856
50,100,21,0.22147715,-0.039389744,0.14528856
50,100,22,-0.23492843,-0.039389744,0.14528856
50,100,23,-0.23492843,-0.039389744,0.14528856
50,100,24,-0.17801332,-0.039389744,0.14528856
50,100,25,-0.17801332,-0.039389744,0.14528856
50,100,26,-0.18301713,-0.039389744,0.14528856
50,100,27,-0.18301713,-0.039389744,0.14528856
50,100,28,-0.13493139,-0.039389744,0.14528856
50,100,29,-0.13493139,-0.039389744,0.14528856
50,100,30,-0.118526995,-0.039389744,0.14528856
50,100,31,-0.118526876,-0.039389744,0.14528856
50,100,32,-0.09328771,-0.039389744,0.14528856
50,100,33,-0.09328747,-0.039389744,0.14528856
50,100,34,-0.19116622,-0.039389744,0.14528856
50,100,35,-0.19116622,-0.039389744,0.14528856
50,100,36,-0.1540358,-0.039389744,0.14528856
50,100,37,-0.1540358,-0.039389744,0.14528856
100,150,1,-0.15015787,-0.22280036,0.07957739
100,150,2,-0.1690042,-0.22280036,0.07957739
100,150,3,-0.1690042,-0.22280036,0.07957739
100,150,4,-0.17368007,-0.22280036,0.07957739
100,150,5,-0.17368007,-0.22280036,0.07957739
100,150,6,-0.18892226,-0.22280036,0.07957739
100,150,7,-0.18892226,-0.22280036,0.07957739
100,150,8,-0.20565307,-0.22280036,0.07957739
100,150,9,-0.20565307,-0.22280036,0.07957739
